Initial.Name,bill,vote,District,Party
J. Gooch,HB2,YEA,H12,Republican
M. Meredith,HB2,YEA,H19,Republican
J. Richards,HB2,YEA,H20,Democratic
W. Wells,HB2,YEA,H97,Republican
D. Hale,HB2,YEA,H74,Republican
S. Miles,HB2,YEA,H7,Republican
S. Riggs,HB2,YEA,H31,Democratic
A. Wuchner,HB2,YEA,H66,Republican
M. Hart,HB2,YEA,H78,Republican
J. Miller,HB2,YEA,H36,Republican
S. Riley,HB2,YEA,H23,Republican
R. Adkins,HB2,NAY,H99,Democratic
K. Flood,HB2,NAY,H75,Democratic
D. Keene,HB2,NAY,H67,Democratic
A. Scott,HB2,NAY,H41,Democratic
L. Belcher,HB2,NAY,H49,Democratic
C. Fugate,HB2,NAY,H84,Republican
M. Marzian,HB2,NAY,H34,Democratic
A. Simpson,HB2,NAY,H65,Democratic
D. Bentley,HB2,NAY,H98,Republican
A. Gentry,HB2,NAY,H46,Democratic
C. McCoy,HB2,NAY,H50,Republican
K. Sinnette,HB2,NAY,H100,Democratic
J. Blanton,HB2,NAY,H92,Republican
R. Goforth,HB2,NAY,H81,Republican
R. Meeks,HB2,NAY,H42,Democratic
J. Stewart,HB2,NAY,H86,Republican
G. Brown,HB2,NAY,H77,Democratic
D. Graham,HB2,NAY,H57,Democratic
C. Miller,HB2,NAY,H28,Democratic
W. Stone,HB2,NAY,H22,Democratic
L. Brown,HB2,NAY,H95,Republican
J. Greer,HB2,NAY,H27,Democratic
C. Morgan,HB2,NAY,H81,Republican
G. Watkins,HB2,NAY,H3,Democratic
T. Burch,HB2,NAY,H30,Democratic
C. Harris,HB2,NAY,H93,Democratic
R. Nelson,HB2,NAY,H87,Democratic
J. Wayne,HB2,NAY,H35,Democratic
M. Cantrell,HB2,NAY,H38,Democratic
A. Hatton,HB2,NAY,H94,Democratic
S. Overly,HB2,NAY,H72,Democratic
S. Westrom,HB2,NAY,H79,Democratic
T. Couch,HB2,NAY,H90,Republican
J. Jenkins,HB2,NAY,H44,Democratic
R. Palumbo,HB2,NAY,H76,Democratic
J. York,HB2,NAY,H96,Republican
J. Donohue,HB2,NAY,H37,Democratic
J. Kay,HB2,NAY,H56,Democratic
R. Rand,HB2,NAY,H47,Democratic
W. Coursey,HB2,NV,H6,Democratic
T. Turner,HB2,NV,H85,Republican
D. Schamore,HB2,NV,H10,Democratic
D. Horlander,HB2,NV,H40,Democratic
J. Hoover,HB2,NV,H83,Republican
R. Meyer,HB2,NV,H39,Democratic
R. Adkins,HB3,YEA,H99,Democratic
C. Fugate,HB3,YEA,H84,Republican
M. Marzian,HB3,YEA,H34,Democratic
S. Riley,HB3,YEA,H23,Republican
L. Bechler,HB3,YEA,H4,Republican
A. Gentry,HB3,YEA,H46,Democratic
D. Mayfield,HB3,YEA,H73,Republican
R. Rothenburger,HB3,YEA,H58,Republican
L. Belcher,HB3,YEA,H49,Democratic
R. Goforth,HB3,YEA,H81,Republican
D. Meade,HB3,YEA,H80,Republican
B. Rowland,HB3,YEA,H21,Republican
D. Bentley,HB3,YEA,H98,Republican
J. Gooch,HB3,YEA,H12,Republican
M. Meredith,HB3,YEA,H19,Republican
S. Rudy,HB3,YEA,H1,Republican
R. Benvenuti,HB3,YEA,H88,Republican
D. Graham,HB3,YEA,H57,Democratic
S. Miles,HB3,YEA,H7,Republican
S. Santoro,HB3,YEA,H60,Republican
J. Blanton,HB3,YEA,H92,Republican
J. Greer,HB3,YEA,H27,Democratic
C. Miller,HB3,YEA,H28,Democratic
D. Schamore,HB3,YEA,H10,Democratic
K. Bratcher,HB3,YEA,H29,Republican
D. Hale,HB3,YEA,H74,Republican
J. Miller,HB3,YEA,H36,Republican
J. Shell,HB3,YEA,H71,Republican
G. Brown,HB3,YEA,H77,Democratic
C. Harris,HB3,YEA,H93,Democratic
R. Mills,HB3,YEA,H11,Republican
A. Simpson,HB3,YEA,H65,Democratic
L. Brown,HB3,YEA,H95,Republican
M. Hart,HB3,YEA,H78,Republican
T. Moore,HB3,YEA,H18,Republican
J. Sims,HB3,YEA,H70,Democratic
M. Cantrell,HB3,YEA,H38,Democratic
A. Hatton,HB3,YEA,H94,Democratic
C. Morgan,HB3,YEA,H81,Republican
D. St. Onge,HB3,YEA,H63,Republican
J. Carney,HB3,YEA,H51,Republican
R. Heath,HB3,YEA,H2,Republican
K. Moser,HB3,YEA,H64,Republican
J. Stewart,HB3,YEA,H86,Republican
M. Castlen,HB3,YEA,H14,Republican
T. Herald,HB3,YEA,H91,Republican
R. Nelson,HB3,YEA,H87,Democratic
W. Stone,HB3,YEA,H22,Democratic
T. Couch,HB3,YEA,H90,Republican
R. Bunch,HB3,YEA,H82,Republican
J. Nemes,HB3,YEA,H33,Republican
W. Thomas,HB3,YEA,H8,Republican
W. Coursey,HB3,YEA,H6,Democratic
K. Imes,HB3,YEA,H5,Republican
D. Osborne,HB3,YEA,H59,Republican
J. Tipton,HB3,YEA,H53,Republican
J. DeCesare,HB3,YEA,H17,Republican
J. Jenkins,HB3,YEA,H44,Democratic
S. Overly,HB3,YEA,H72,Democratic
T. Turner,HB3,YEA,H85,Republican
J. Donohue,HB3,YEA,H37,Democratic
DJ. Johnson,HB3,YEA,H13,Republican
J. Petrie,HB3,YEA,H16,Republican
K. Upchurch,HB3,YEA,H52,Republican
M. Dossett,HB3,YEA,H9,Republican
D. Keene,HB3,YEA,H67,Democratic
P. Pratt,HB3,YEA,H62,Republican
J. Wayne,HB3,YEA,H35,Democratic
J. DuPlessis,HB3,YEA,H25,Republican
K. King,HB3,YEA,H55,Republican
M. Prunty,HB3,YEA,H15,Republican
R. Webber,HB3,YEA,H26,Republican
D. Elliott,HB3,YEA,H54,Republican
A. Koenig,HB3,YEA,H69,Republican
R. Rand,HB3,YEA,H47,Democratic
S. Westrom,HB3,YEA,H79,Democratic
J. Fischer,HB3,YEA,H68,Republican
S. Lee,HB3,YEA,H45,Republican
J. Richards,HB3,YEA,H20,Democratic
A. Wuchner,HB3,YEA,H66,Republican
K. Fleming,HB3,YEA,H48,Republican
B. Linder,HB3,YEA,H61,Republican
S. Riggs,HB3,YEA,H31,Democratic
J. York,HB3,YEA,H96,Republican
K. Flood,HB3,YEA,H75,Democratic
R. Meeks,HB3,NAY,H42,Democratic
A. Scott,HB3,NAY,H41,Democratic
T. Burch,HB3,NV,H30,Democratic
K. Sinnette,HB3,NV,H100,Democratic
D. Owens,HB3,NV,H43,Democratic
C. McCoy,HB3,NV,H50,Republican
J. Hoover,HB3,NV,H83,Republican
G. Watkins,HB3,NV,H3,Democratic
R. Palumbo,HB3,NV,H76,Democratic
R. Meyer,HB3,NV,H39,Democratic
D. Horlander,HB3,NV,H40,Democratic
W. Wells,HB3,NV,H97,Republican
W. Reed,HB3,NV,H24,Republican
P. Moffett,HB3,NV,H32,Republican
J. Kay,HB3,NV,H56,Democratic
L. Bechler,HB4,YEA,H4,Republican
R. Heath,HB4,YEA,H2,Republican
R. Mills,HB4,YEA,H11,Republican
S. Rudy,HB4,YEA,H1,Republican
D. Bentley,HB4,YEA,H98,Republican
T. Herald,HB4,YEA,H91,Republican
P. Moffett,HB4,YEA,H32,Republican
S. Santoro,HB4,YEA,H60,Republican
J. Blanton,HB4,YEA,H92,Republican
J. Hoover,HB4,YEA,H83,Republican
T. Moore,HB4,YEA,H18,Republican
A. Scott,HB4,YEA,H41,Democratic
K. Bratcher,HB4,YEA,H29,Republican
R. Bunch,HB4,YEA,H82,Republican
K. Moser,HB4,YEA,H64,Republican
J. Shell,HB4,YEA,H71,Republican
L. Brown,HB4,YEA,H95,Republican
K. Imes,HB4,YEA,H5,Republican
J. Nemes,HB4,YEA,H33,Republican
D. St. Onge,HB4,YEA,H63,Republican
J. Carney,HB4,YEA,H51,Republican
DJ. Johnson,HB4,YEA,H13,Republican
D. Osborne,HB4,YEA,H59,Republican
J. Stewart,HB4,YEA,H86,Republican
M. Castlen,HB4,YEA,H14,Republican
K. King,HB4,YEA,H55,Republican
J. Petrie,HB4,YEA,H16,Republican
W. Thomas,HB4,YEA,H8,Republican
M. Dossett,HB4,YEA,H9,Republican
A. Koenig,HB4,YEA,H69,Republican
P. Pratt,HB4,YEA,H62,Republican
J. Tipton,HB4,YEA,H53,Republican
J. DuPlessis,HB4,YEA,H25,Republican
S. Lee,HB4,YEA,H45,Republican
M. Prunty,HB4,YEA,H15,Republican
T. Turner,HB4,YEA,H85,Republican
D. Elliott,HB4,YEA,H54,Republican
B. Linder,HB4,YEA,H61,Republican
W. Reed,HB4,YEA,H24,Republican
K. Upchurch,HB4,YEA,H52,Republican
J. Fischer,HB4,YEA,H68,Republican
D. Mayfield,HB4,YEA,H73,Republican
S. Riggs,HB4,YEA,H31,Democratic
R. Webber,HB4,YEA,H26,Republican
K. Fleming,HB4,YEA,H48,Republican
C. McCoy,HB4,YEA,H50,Republican
S. Riley,HB4,YEA,H23,Republican
W. Wells,HB4,YEA,H97,Republican
J. Gooch,HB4,YEA,H12,Republican
D. Meade,HB4,YEA,H80,Republican
R. Rothenburger,HB4,YEA,H58,Republican
S. Westrom,HB4,YEA,H79,Democratic
D. Hale,HB4,YEA,H74,Republican
S. Miles,HB4,YEA,H7,Republican
B. Rowland,HB4,YEA,H21,Republican
A. Wuchner,HB4,YEA,H66,Republican
M. Hart,HB4,YEA,H78,Republican
J. Miller,HB4,YEA,H36,Republican
R. Adkins,HB4,NAY,H99,Democratic
K. Flood,HB4,NAY,H75,Democratic
D. Keene,HB4,NAY,H67,Democratic
R. Palumbo,HB4,NAY,H76,Democratic
G. Brown,HB4,NAY,H77,Democratic
C. Fugate,HB4,NAY,H84,Republican
M. Marzian,HB4,NAY,H34,Democratic
R. Rand,HB4,NAY,H47,Democratic
T. Burch,HB4,NAY,H30,Democratic
A. Gentry,HB4,NAY,H46,Democratic
R. Meeks,HB4,NAY,H42,Democratic
D. Schamore,HB4,NAY,H10,Democratic
M. Cantrell,HB4,NAY,H38,Democratic
D. Graham,HB4,NAY,H57,Democratic
M. Meredith,HB4,NAY,H19,Republican
K. Sinnette,HB4,NAY,H100,Democratic
T. Couch,HB4,NAY,H90,Republican
C. Harris,HB4,NAY,H93,Democratic
R. Meyer,HB4,NAY,H39,Democratic
J. Wayne,HB4,NAY,H35,Democratic
W. Coursey,HB4,NAY,H6,Democratic
