Initial.Name,bill,vote,District,Party
S. West,HB4,YEA,S27,Republican
J. Carpenter,HB4,YEA,S34,Republican
S. Humphries,HB4,YEA,S1,Republican
J. Schickel,HB4,YEA,S11,Republican
W. Westerfield,HB4,YEA,S3,Republican
D. Carroll,HB4,YEA,S2,Republican
A. Kerr,HB4,YEA,S12,Republican
W. Schroder,HB4,YEA,S24,Republican
M. Wilson,HB4,YEA,S32,Republican
R. Girdler,HB4,YEA,S15,Republican
C. McDaniel,HB4,YEA,S23,Republican
D. Seum,HB4,YEA,S38,Republican
M. Wise,HB4,YEA,S16,Republican
D. Givens,HB4,YEA,S9,Republican
J. Carroll,HB4,NAY,S7,Democratic
R. Jones II,HB4,NAY,S31,Democratic
D. Parrett,HB4,NAY,S10,Democratic
R. Thomas,HB4,NAY,S13,Democratic
P. Clark,HB4,NAY,S37,Democratic
M. McGarvey,HB4,NAY,S19,Democratic
D. Ridley,HB4,NAY,S4,Democratic
J. Turner,HB4,NAY,S29,Democratic
C. Embry Jr.,HB4,NAY,S6,Republican
G. Neal,HB4,NAY,S33,Democratic
B. Smith,HB4,NAY,S30,Republican
R. Webb,HB4,NAY,S18,Democratic
D. Harper Angel,HB4,NAY,S35,Democratic
R. Alvarado,HB5,YEA,S28,Republican
D. Harper Angel,HB5,YEA,S35,Democratic
G. Neal,HB5,YEA,S33,Democratic
R. Stivers II,HB5,YEA,S25,Republican
J. Bowen,HB5,YEA,S8,Republican
E. Harris,HB5,YEA,S26,Republican
D. Parrett,HB5,YEA,S10,Democratic
D. Thayer,HB5,YEA,S17,Republican
T. Buford,HB5,YEA,S22,Republican
J. Higdon,HB5,YEA,S14,Republican
J. Adams,HB5,YEA,S36,Republican
R. Thomas,HB5,YEA,S13,Democratic
J. Carpenter,HB5,YEA,S34,Republican
P. Hornback,HB5,YEA,S20,Republican
D. Ridley,HB5,YEA,S4,Democratic
J. Turner,HB5,YEA,S29,Democratic
D. Carroll,HB5,YEA,S2,Republican
S. Humphries,HB5,YEA,S1,Republican
A. Robinson,HB5,YEA,S21,Republican
R. Webb,HB5,YEA,S18,Democratic
J. Carroll,HB5,YEA,S7,Democratic
R. Jones II,HB5,YEA,S31,Democratic
J. Schickel,HB5,YEA,S11,Republican
S. West,HB5,YEA,S27,Republican
P. Clark,HB5,YEA,S37,Democratic
A. Kerr,HB5,YEA,S12,Republican
W. Schroder,HB5,YEA,S24,Republican
W. Westerfield,HB5,YEA,S3,Republican
C. Embry Jr.,HB5,YEA,S6,Republican
C. McDaniel,HB5,YEA,S23,Republican
D. Seum,HB5,YEA,S38,Republican
M. Wilson,HB5,YEA,S32,Republican
R. Girdler,HB5,YEA,S15,Republican
M. McGarvey,HB5,YEA,S19,Democratic
B. Smith,HB5,YEA,S30,Republican
M. Wise,HB5,YEA,S16,Republican
D. Givens,HB5,YEA,S9,Republican
S. Meredith,HB5,YEA,S5,Republican
R. Alvarado,HB11,YEA,S28,Republican
E. Harris,HB11,YEA,S26,Republican
G. Neal,HB11,YEA,S33,Democratic
R. Stivers II,HB11,YEA,S25,Republican
J. Bowen,HB11,YEA,S8,Republican
J. Higdon,HB11,YEA,S14,Republican
D. Parrett,HB11,YEA,S10,Democratic
D. Thayer,HB11,YEA,S17,Republican
T. Buford,HB11,YEA,S22,Republican
P. Hornback,HB11,YEA,S20,Republican
J. Adams,HB11,YEA,S36,Republican
R. Thomas,HB11,YEA,S13,Democratic
J. Carpenter,HB11,YEA,S34,Republican
S. Humphries,HB11,YEA,S1,Republican
D. Ridley,HB11,YEA,S4,Democratic
J. Turner,HB11,YEA,S29,Democratic
D. Carroll,HB11,YEA,S2,Republican
R. Jones II,HB11,YEA,S31,Democratic
A. Robinson,HB11,YEA,S21,Republican
R. Webb,HB11,YEA,S18,Democratic
J. Carroll,HB11,YEA,S7,Democratic
A. Kerr,HB11,YEA,S12,Republican
J. Schickel,HB11,YEA,S11,Republican
S. West,HB11,YEA,S27,Republican
C. Embry Jr.,HB11,YEA,S6,Republican
C. McDaniel,HB11,YEA,S23,Republican
W. Schroder,HB11,YEA,S24,Republican
W. Westerfield,HB11,YEA,S3,Republican
R. Girdler,HB11,YEA,S15,Republican
M. McGarvey,HB11,YEA,S19,Democratic
D. Seum,HB11,YEA,S38,Republican
M. Wilson,HB11,YEA,S32,Republican
D. Givens,HB11,YEA,S9,Republican
S. Meredith,HB11,YEA,S5,Republican
B. Smith,HB11,YEA,S30,Republican
M. Wise,HB11,YEA,S16,Republican
D. Harper Angel,HB11,YEA,S35,Democratic
P. Clark,HB11,NV,S37,Democratic
R. Alvarado,HB22,YEA,S28,Republican
D. Harper Angel,HB22,YEA,S35,Democratic
G. Neal,HB22,YEA,S33,Democratic
R. Stivers II,HB22,YEA,S25,Republican
J. Bowen,HB22,YEA,S8,Republican
E. Harris,HB22,YEA,S26,Republican
D. Parrett,HB22,YEA,S10,Democratic
D. Thayer,HB22,YEA,S17,Republican
T. Buford,HB22,YEA,S22,Republican
J. Higdon,HB22,YEA,S14,Republican
J. Adams,HB22,YEA,S36,Republican
R. Thomas,HB22,YEA,S13,Democratic
J. Carpenter,HB22,YEA,S34,Republican
P. Hornback,HB22,YEA,S20,Republican
D. Ridley,HB22,YEA,S4,Democratic
J. Turner,HB22,YEA,S29,Democratic
D. Carroll,HB22,YEA,S2,Republican
S. Humphries,HB22,YEA,S1,Republican
A. Robinson,HB22,YEA,S21,Republican
R. Webb,HB22,YEA,S18,Democratic
J. Carroll,HB22,YEA,S7,Democratic
R. Jones II,HB22,YEA,S31,Democratic
J. Schickel,HB22,YEA,S11,Republican
S. West,HB22,YEA,S27,Republican
P. Clark,HB22,YEA,S37,Democratic
A. Kerr,HB22,YEA,S12,Republican
W. Schroder,HB22,YEA,S24,Republican
W. Westerfield,HB22,YEA,S3,Republican
C. Embry Jr.,HB22,YEA,S6,Republican
C. McDaniel,HB22,YEA,S23,Republican
D. Seum,HB22,YEA,S38,Republican
M. Wilson,HB22,YEA,S32,Republican
R. Girdler,HB22,YEA,S15,Republican
M. McGarvey,HB22,YEA,S19,Democratic
B. Smith,HB22,YEA,S30,Republican
M. Wise,HB22,YEA,S16,Republican
D. Givens,HB22,YEA,S9,Republican
S. Meredith,HB22,YEA,S5,Republican
R. Alvarado,HB30,YEA,S28,Republican
D. Givens,HB30,YEA,S9,Republican
M. McGarvey,HB30,YEA,S19,Democratic
R. Stivers II,HB30,YEA,S25,Republican
J. Bowen,HB30,YEA,S8,Republican
D. Harper Angel,HB30,YEA,S35,Democratic
S. Meredith,HB30,YEA,S5,Republican
D. Thayer,HB30,YEA,S17,Republican
T. Buford,HB30,YEA,S22,Republican
E. Harris,HB30,YEA,S26,Republican
D. Parrett,HB30,YEA,S10,Democratic
R. Thomas,HB30,YEA,S13,Democratic
J. Carpenter,HB30,YEA,S34,Republican
J. Higdon,HB30,YEA,S14,Republican
J. Adams,HB30,YEA,S36,Republican
J. Turner,HB30,YEA,S29,Democratic
D. Carroll,HB30,YEA,S2,Republican
P. Hornback,HB30,YEA,S20,Republican
D. Ridley,HB30,YEA,S4,Democratic
R. Webb,HB30,YEA,S18,Democratic
J. Carroll,HB30,YEA,S7,Democratic
S. Humphries,HB30,YEA,S1,Republican
A. Robinson,HB30,YEA,S21,Republican
S. West,HB30,YEA,S27,Republican
P. Clark,HB30,YEA,S37,Democratic
R. Jones II,HB30,YEA,S31,Democratic
W. Schroder,HB30,YEA,S24,Republican
W. Westerfield,HB30,YEA,S3,Republican
C. Embry Jr.,HB30,YEA,S6,Republican
A. Kerr,HB30,YEA,S12,Republican
D. Seum,HB30,YEA,S38,Republican
M. Wilson,HB30,YEA,S32,Republican
R. Girdler,HB30,YEA,S15,Republican
C. McDaniel,HB30,YEA,S23,Republican
B. Smith,HB30,YEA,S30,Republican
M. Wise,HB30,YEA,S16,Republican
J. Schickel,HB30,NAY,S11,Republican
G. Neal,HB30,NV,S33,Democratic
R. Alvarado,HB33,YEA,S28,Republican
D. Givens,HB33,YEA,S9,Republican
