Initial.Name,bill,vote,District,Party
S. West,HB158,YEA,S27,Republican
P. Clark,HB158,YEA,S37,Democratic
A. Kerr,HB158,YEA,S12,Republican
W. Schroder,HB158,YEA,S24,Republican
W. Westerfield,HB158,YEA,S3,Republican
C. Embry Jr.,HB158,YEA,S6,Republican
M. McGarvey,HB158,YEA,S19,Democratic
D. Seum,HB158,YEA,S38,Republican
M. Wilson,HB158,YEA,S32,Republican
R. Girdler,HB158,YEA,S15,Republican
S. Meredith,HB158,YEA,S5,Republican
B. Smith,HB158,YEA,S30,Republican
M. Wise,HB158,YEA,S16,Republican
D. Givens,HB158,YEA,S9,Republican
C. McDaniel,HB158,NV,S23,Republican
R. Alvarado,HB164,YEA,S28,Republican
D. Harper Angel,HB164,YEA,S35,Democratic
S. Meredith,HB164,YEA,S5,Republican
D. Thayer,HB164,YEA,S17,Republican
J. Bowen,HB164,YEA,S8,Republican
E. Harris,HB164,YEA,S26,Republican
D. Parrett,HB164,YEA,S10,Democratic
R. Thomas,HB164,YEA,S13,Democratic
T. Buford,HB164,YEA,S22,Republican
J. Higdon,HB164,YEA,S14,Republican
J. Adams,HB164,YEA,S36,Republican
J. Turner,HB164,YEA,S29,Democratic
J. Carpenter,HB164,YEA,S34,Republican
P. Hornback,HB164,YEA,S20,Republican
D. Ridley,HB164,YEA,S4,Democratic
R. Webb,HB164,YEA,S18,Democratic
D. Carroll,HB164,YEA,S2,Republican
S. Humphries,HB164,YEA,S1,Republican
J. Schickel,HB164,YEA,S11,Republican
S. West,HB164,YEA,S27,Republican
J. Carroll,HB164,YEA,S7,Democratic
R. Jones II,HB164,YEA,S31,Democratic
W. Schroder,HB164,YEA,S24,Republican
W. Westerfield,HB164,YEA,S3,Republican
P. Clark,HB164,YEA,S37,Democratic
A. Kerr,HB164,YEA,S12,Republican
D. Seum,HB164,YEA,S38,Republican
M. Wilson,HB164,YEA,S32,Republican
R. Girdler,HB164,YEA,S15,Republican
C. McDaniel,HB164,YEA,S23,Republican
R. Stivers II,HB164,YEA,S25,Republican
M. Wise,HB164,YEA,S16,Republican
D. Givens,HB164,YEA,S9,Republican
M. McGarvey,HB164,YEA,S19,Democratic
C. Embry Jr.,HB164,NAY,S6,Republican
A. Robinson,HB164,NAY,S21,Republican
B. Smith,HB164,NAY,S30,Republican
G. Neal,HB164,NV,S33,Democratic
R. Alvarado,HB167,YEA,S28,Republican
E. Harris,HB167,YEA,S26,Republican
G. Neal,HB167,YEA,S33,Democratic
R. Stivers II,HB167,YEA,S25,Republican
J. Bowen,HB167,YEA,S8,Republican
J. Higdon,HB167,YEA,S14,Republican
D. Parrett,HB167,YEA,S10,Democratic
D. Thayer,HB167,YEA,S17,Republican
T. Buford,HB167,YEA,S22,Republican
P. Hornback,HB167,YEA,S20,Republican
J. Adams,HB167,YEA,S36,Republican
R. Thomas,HB167,YEA,S13,Democratic
J. Carpenter,HB167,YEA,S34,Republican
S. Humphries,HB167,YEA,S1,Republican
D. Ridley,HB167,YEA,S4,Democratic
J. Turner,HB167,YEA,S29,Democratic
D. Carroll,HB167,YEA,S2,Republican
R. Jones II,HB167,YEA,S31,Democratic
A. Robinson,HB167,YEA,S21,Republican
R. Webb,HB167,YEA,S18,Democratic
J. Carroll,HB167,YEA,S7,Democratic
A. Kerr,HB167,YEA,S12,Republican
J. Schickel,HB167,YEA,S11,Republican
S. West,HB167,YEA,S27,Republican
C. Embry Jr.,HB167,YEA,S6,Republican
C. McDaniel,HB167,YEA,S23,Republican
W. Schroder,HB167,YEA,S24,Republican
W. Westerfield,HB167,YEA,S3,Republican
R. Girdler,HB167,YEA,S15,Republican
M. McGarvey,HB167,YEA,S19,Democratic
D. Seum,HB167,YEA,S38,Republican
M. Wilson,HB167,YEA,S32,Republican
D. Givens,HB167,YEA,S9,Republican
S. Meredith,HB167,YEA,S5,Republican
B. Smith,HB167,YEA,S30,Republican
M. Wise,HB167,YEA,S16,Republican
D. Harper Angel,HB167,YEA,S35,Democratic
P. Clark,HB167,NV,S37,Democratic
R. Alvarado,HB168,YEA,S28,Republican
D. Harper Angel,HB168,YEA,S35,Democratic
G. Neal,HB168,YEA,S33,Democratic
R. Stivers II,HB168,YEA,S25,Republican
J. Bowen,HB168,YEA,S8,Republican
E. Harris,HB168,YEA,S26,Republican
D. Parrett,HB168,YEA,S10,Democratic
D. Thayer,HB168,YEA,S17,Republican
T. Buford,HB168,YEA,S22,Republican
J. Higdon,HB168,YEA,S14,Republican
J. Adams,HB168,YEA,S36,Republican
R. Thomas,HB168,YEA,S13,Democratic
J. Carpenter,HB168,YEA,S34,Republican
P. Hornback,HB168,YEA,S20,Republican
D. Ridley,HB168,YEA,S4,Democratic
J. Turner,HB168,YEA,S29,Democratic
D. Carroll,HB168,YEA,S2,Republican
S. Humphries,HB168,YEA,S1,Republican
A. Robinson,HB168,YEA,S21,Republican
R. Webb,HB168,YEA,S18,Democratic
J. Carroll,HB168,YEA,S7,Democratic
R. Jones II,HB168,YEA,S31,Democratic
J. Schickel,HB168,YEA,S11,Republican
S. West,HB168,YEA,S27,Republican
P. Clark,HB168,YEA,S37,Democratic
A. Kerr,HB168,YEA,S12,Republican
W. Schroder,HB168,YEA,S24,Republican
W. Westerfield,HB168,YEA,S3,Republican
C. Embry Jr.,HB168,YEA,S6,Republican
C. McDaniel,HB168,YEA,S23,Republican
D. Seum,HB168,YEA,S38,Republican
M. Wilson,HB168,YEA,S32,Republican
R. Girdler,HB168,YEA,S15,Republican
M. McGarvey,HB168,YEA,S19,Democratic
B. Smith,HB168,YEA,S30,Republican
M. Wise,HB168,YEA,S16,Republican
D. Givens,HB168,YEA,S9,Republican
S. Meredith,HB168,YEA,S5,Republican
R. Alvarado,HB169,YEA,S28,Republican
E. Harris,HB169,YEA,S26,Republican
A. Robinson,HB169,YEA,S21,Republican
D. Thayer,HB169,YEA,S17,Republican
J. Bowen,HB169,YEA,S8,Republican
P. Hornback,HB169,YEA,S20,Republican
J. Schickel,HB169,YEA,S11,Republican
S. West,HB169,YEA,S27,Republican
D. Carroll,HB169,YEA,S2,Republican
S. Humphries,HB169,YEA,S1,Republican
W. Schroder,HB169,YEA,S24,Republican
W. Westerfield,HB169,YEA,S3,Republican
C. Embry Jr.,HB169,YEA,S6,Republican
A. Kerr,HB169,YEA,S12,Republican
D. Seum,HB169,YEA,S38,Republican
M. Wilson,HB169,YEA,S32,Republican
R. Girdler,HB169,YEA,S15,Republican
C. McDaniel,HB169,YEA,S23,Republican
R. Stivers II,HB169,YEA,S25,Republican
M. Wise,HB169,YEA,S16,Republican
D. Givens,HB169,YEA,S9,Republican
T. Buford,HB169,NAY,S22,Republican
J. Higdon,HB169,NAY,S14,Republican
G. Neal,HB169,NAY,S33,Democratic
B. Smith,HB169,NAY,S30,Republican
J. Carpenter,HB169,NAY,S34,Republican
R. Jones II,HB169,NAY,S31,Democratic
D. Parrett,HB169,NAY,S10,Democratic
R. Thomas,HB169,NAY,S13,Democratic
J. Carroll,HB169,NAY,S7,Democratic
M. McGarvey,HB169,NAY,S19,Democratic
J. Adams,HB169,NAY,S36,Republican
J. Turner,HB169,NAY,S29,Democratic
P. Clark,HB169,NAY,S37,Democratic
S. Meredith,HB169,NAY,S5,Republican
D. Ridley,HB169,NAY,S4,Democratic
R. Webb,HB169,NAY,S18,Democratic
D. Harper Angel,HB169,NAY,S35,Democratic
R. Alvarado,HB176,YEA,S28,Republican
D. Harper Angel,HB176,YEA,S35,Democratic
G. Neal,HB176,YEA,S33,Democratic
R. Stivers II,HB176,YEA,S25,Republican
J. Bowen,HB176,YEA,S8,Republican
E. Harris,HB176,YEA,S26,Republican
D. Parrett,HB176,YEA,S10,Democratic
D. Thayer,HB176,YEA,S17,Republican
T. Buford,HB176,YEA,S22,Republican
J. Higdon,HB176,YEA,S14,Republican
J. Adams,HB176,YEA,S36,Republican
R. Thomas,HB176,YEA,S13,Democratic
J. Carpenter,HB176,YEA,S34,Republican
P. Hornback,HB176,YEA,S20,Republican
D. Ridley,HB176,YEA,S4,Democratic
J. Turner,HB176,YEA,S29,Democratic
D. Carroll,HB176,YEA,S2,Republican
S. Humphries,HB176,YEA,S1,Republican
A. Robinson,HB176,YEA,S21,Republican
R. Webb,HB176,YEA,S18,Democratic
J. Carroll,HB176,YEA,S7,Democratic
R. Jones II,HB176,YEA,S31,Democratic
J. Schickel,HB176,YEA,S11,Republican
S. West,HB176,YEA,S27,Republican
P. Clark,HB176,YEA,S37,Democratic
A. Kerr,HB176,YEA,S12,Republican
W. Schroder,HB176,YEA,S24,Republican
W. Westerfield,HB176,YEA,S3,Republican
C. Embry Jr.,HB176,YEA,S6,Republican
C. McDaniel,HB176,YEA,S23,Republican
D. Seum,HB176,YEA,S38,Republican
M. Wilson,HB176,YEA,S32,Republican
R. Girdler,HB176,YEA,S15,Republican
M. McGarvey,HB176,YEA,S19,Democratic
B. Smith,HB176,YEA,S30,Republican
M. Wise,HB176,YEA,S16,Republican
D. Givens,HB176,YEA,S9,Republican
S. Meredith,HB176,YEA,S5,Republican
R. Alvarado,HB177,YEA,S28,Republican
D. Harper Angel,HB177,YEA,S35,Democratic
G. Neal,HB177,YEA,S33,Democratic
R. Stivers II,HB177,YEA,S25,Republican
J. Bowen,HB177,YEA,S8,Republican
E. Harris,HB177,YEA,S26,Republican
D. Parrett,HB177,YEA,S10,Democratic
D. Thayer,HB177,YEA,S17,Republican
T. Buford,HB177,YEA,S22,Republican
J. Higdon,HB177,YEA,S14,Republican
J. Adams,HB177,YEA,S36,Republican
R. Thomas,HB177,YEA,S13,Democratic
J. Carpenter,HB177,YEA,S34,Republican
P. Hornback,HB177,YEA,S20,Republican
D. Ridley,HB177,YEA,S4,Democratic
J. Turner,HB177,YEA,S29,Democratic
D. Carroll,HB177,YEA,S2,Republican
S. Humphries,HB177,YEA,S1,Republican
A. Robinson,HB177,YEA,S21,Republican
R. Webb,HB177,YEA,S18,Democratic
J. Carroll,HB177,YEA,S7,Democratic
R. Jones II,HB177,YEA,S31,Democratic
J. Schickel,HB177,YEA,S11,Republican
S. West,HB177,YEA,S27,Republican
P. Clark,HB177,YEA,S37,Democratic
A. Kerr,HB177,YEA,S12,Republican
W. Schroder,HB177,YEA,S24,Republican
W. Westerfield,HB177,YEA,S3,Republican
C. Embry Jr.,HB177,YEA,S6,Republican
C. McDaniel,HB177,YEA,S23,Republican
D. Seum,HB177,YEA,S38,Republican
M. Wilson,HB177,YEA,S32,Republican
R. Girdler,HB177,YEA,S15,Republican
M. McGarvey,HB177,YEA,S19,Democratic
B. Smith,HB177,YEA,S30,Republican
M. Wise,HB177,YEA,S16,Republican
D. Givens,HB177,YEA,S9,Republican
S. Meredith,HB177,YEA,S5,Republican
R. Alvarado,HB185,YEA,S28,Republican
E. Harris,HB185,YEA,S26,Republican
G. Neal,HB185,YEA,S33,Democratic
R. Stivers II,HB185,YEA,S25,Republican
J. Bowen,HB185,YEA,S8,Republican
J. Higdon,HB185,YEA,S14,Republican
D. Parrett,HB185,YEA,S10,Democratic
D. Thayer,HB185,YEA,S17,Republican
T. Buford,HB185,YEA,S22,Republican
P. Hornback,HB185,YEA,S20,Republican
J. Adams,HB185,YEA,S36,Republican
R. Thomas,HB185,YEA,S13,Democratic
J. Carpenter,HB185,YEA,S34,Republican
S. Humphries,HB185,YEA,S1,Republican
D. Ridley,HB185,YEA,S4,Democratic
J. Turner,HB185,YEA,S29,Democratic
D. Carroll,HB185,YEA,S2,Republican
R. Jones II,HB185,YEA,S31,Democratic
A. Robinson,HB185,YEA,S21,Republican
R. Webb,HB185,YEA,S18,Democratic
J. Carroll,HB185,YEA,S7,Democratic
A. Kerr,HB185,YEA,S12,Republican
J. Schickel,HB185,YEA,S11,Republican
S. West,HB185,YEA,S27,Republican
C. Embry Jr.,HB185,YEA,S6,Republican
C. McDaniel,HB185,YEA,S23,Republican
W. Schroder,HB185,YEA,S24,Republican
W. Westerfield,HB185,YEA,S3,Republican
R. Girdler,HB185,YEA,S15,Republican
M. McGarvey,HB185,YEA,S19,Democratic
D. Seum,HB185,YEA,S38,Republican
M. Wilson,HB185,YEA,S32,Republican
D. Givens,HB185,YEA,S9,Republican
S. Meredith,HB185,YEA,S5,Republican
B. Smith,HB185,YEA,S30,Republican
M. Wise,HB185,YEA,S16,Republican
D. Harper Angel,HB185,YEA,S35,Democratic
P. Clark,HB185,NV,S37,Democratic
R. Alvarado,HB187,YEA,S28,Republican
D. Harper Angel,HB187,YEA,S35,Democratic
S. Meredith,HB187,YEA,S5,Republican
R. Stivers II,HB187,YEA,S25,Republican
J. Bowen,HB187,YEA,S8,Republican
E. Harris,HB187,YEA,S26,Republican
D. Parrett,HB187,YEA,S10,Democratic
D. Thayer,HB187,YEA,S17,Republican
T. Buford,HB187,YEA,S22,Republican
J. Higdon,HB187,YEA,S14,Republican
J. Adams,HB187,YEA,S36,Republican
R. Thomas,HB187,YEA,S13,Democratic
J. Carpenter,HB187,YEA,S34,Republican
P. Hornback,HB187,YEA,S20,Republican
D. Ridley,HB187,YEA,S4,Democratic
J. Turner,HB187,YEA,S29,Democratic
D. Carroll,HB187,YEA,S2,Republican
S. Humphries,HB187,YEA,S1,Republican
A. Robinson,HB187,YEA,S21,Republican
R. Webb,HB187,YEA,S18,Democratic
J. Carroll,HB187,YEA,S7,Democratic
R. Jones II,HB187,YEA,S31,Democratic
J. Schickel,HB187,YEA,S11,Republican
S. West,HB187,YEA,S27,Republican
P. Clark,HB187,YEA,S37,Democratic
A. Kerr,HB187,YEA,S12,Republican
W. Schroder,HB187,YEA,S24,Republican
W. Westerfield,HB187,YEA,S3,Republican
C. Embry Jr.,HB187,YEA,S6,Republican
C. McDaniel,HB187,YEA,S23,Republican
D. Seum,HB187,YEA,S38,Republican
M. Wilson,HB187,YEA,S32,Republican
R. Girdler,HB187,YEA,S15,Republican
M. McGarvey,HB187,YEA,S19,Democratic
B. Smith,HB187,YEA,S30,Republican
M. Wise,HB187,YEA,S16,Republican
D. Givens,HB187,YEA,S9,Republican
G. Neal,HB187,NV,S33,Democratic
R. Alvarado,HB191,YEA,S28,Republican
E. Harris,HB191,YEA,S26,Republican
G. Neal,HB191,YEA,S33,Democratic
R. Stivers II,HB191,YEA,S25,Republican
J. Bowen,HB191,YEA,S8,Republican
J. Higdon,HB191,YEA,S14,Republican
D. Parrett,HB191,YEA,S10,Democratic
D. Thayer,HB191,YEA,S17,Republican
T. Buford,HB191,YEA,S22,Republican
P. Hornback,HB191,YEA,S20,Republican
J. Adams,HB191,YEA,S36,Republican
R. Thomas,HB191,YEA,S13,Democratic
J. Carpenter,HB191,YEA,S34,Republican
S. Humphries,HB191,YEA,S1,Republican
D. Ridley,HB191,YEA,S4,Democratic
J. Turner,HB191,YEA,S29,Democratic
D. Carroll,HB191,YEA,S2,Republican
R. Jones II,HB191,YEA,S31,Democratic
A. Robinson,HB191,YEA,S21,Republican
R. Webb,HB191,YEA,S18,Democratic
C. Embry Jr.,HB191,YEA,S6,Republican
A. Kerr,HB191,YEA,S12,Republican
J. Schickel,HB191,YEA,S11,Republican
S. West,HB191,YEA,S27,Republican
R. Girdler,HB191,YEA,S15,Republican
C. McDaniel,HB191,YEA,S23,Republican
W. Schroder,HB191,YEA,S24,Republican
W. Westerfield,HB191,YEA,S3,Republican
D. Givens,HB191,YEA,S9,Republican
M. McGarvey,HB191,YEA,S19,Democratic
D. Seum,HB191,YEA,S38,Republican
M. Wilson,HB191,YEA,S32,Republican
D. Harper Angel,HB191,YEA,S35,Democratic
S. Meredith,HB191,YEA,S5,Republican
B. Smith,HB191,YEA,S30,Republican
M. Wise,HB191,YEA,S16,Republican
J. Carroll,HB191,NV,S7,Democratic
P. Clark,HB191,NV,S37,Democratic
R. Alvarado,HB193,YEA,S28,Republican
J. Higdon,HB193,YEA,S14,Republican
D. Parrett,HB193,YEA,S10,Democratic
D. Thayer,HB193,YEA,S17,Republican
J. Bowen,HB193,YEA,S8,Republican
P. Hornback,HB193,YEA,S20,Republican
J. Adams,HB193,YEA,S36,Republican
R. Thomas,HB193,YEA,S13,Democratic
T. Buford,HB193,YEA,S22,Republican
S. Humphries,HB193,YEA,S1,Republican
D. Ridley,HB193,YEA,S4,Democratic
J. Turner,HB193,YEA,S29,Democratic
D. Carroll,HB193,YEA,S2,Republican
R. Jones II,HB193,YEA,S31,Democratic
A. Robinson,HB193,YEA,S21,Republican
R. Webb,HB193,YEA,S18,Democratic
J. Carroll,HB193,YEA,S7,Democratic
A. Kerr,HB193,YEA,S12,Republican
J. Schickel,HB193,YEA,S11,Republican
S. West,HB193,YEA,S27,Republican
C. Embry Jr.,HB193,YEA,S6,Republican
C. McDaniel,HB193,YEA,S23,Republican
W. Schroder,HB193,YEA,S24,Republican
W. Westerfield,HB193,YEA,S3,Republican
R. Girdler,HB193,YEA,S15,Republican
M. McGarvey,HB193,YEA,S19,Democratic
D. Seum,HB193,YEA,S38,Republican
M. Wilson,HB193,YEA,S32,Republican
D. Givens,HB193,YEA,S9,Republican
S. Meredith,HB193,YEA,S5,Republican
B. Smith,HB193,YEA,S30,Republican
M. Wise,HB193,YEA,S16,Republican
E. Harris,HB193,YEA,S26,Republican
G. Neal,HB193,YEA,S33,Democratic
R. Stivers II,HB193,YEA,S25,Republican
D. Harper Angel,HB193,NAY,S35,Democratic
J. Carpenter,HB193,NV,S34,Republican
P. Clark,HB193,NV,S37,Democratic
R. Alvarado,HB198,YEA,S28,Republican
E. Harris,HB198,YEA,S26,Republican
J. Adams,HB198,YEA,S36,Republican
R. Stivers II,HB198,YEA,S25,Republican
J. Bowen,HB198,YEA,S8,Republican
J. Higdon,HB198,YEA,S14,Republican
A. Robinson,HB198,YEA,S21,Republican
D. Thayer,HB198,YEA,S17,Republican
T. Buford,HB198,YEA,S22,Republican
P. Hornback,HB198,YEA,S20,Republican
J. Schickel,HB198,YEA,S11,Republican
S. West,HB198,YEA,S27,Republican
J. Carpenter,HB198,YEA,S34,Republican
S. Humphries,HB198,YEA,S1,Republican
W. Schroder,HB198,YEA,S24,Republican
W. Westerfield,HB198,YEA,S3,Republican
D. Carroll,HB198,YEA,S2,Republican
A. Kerr,HB198,YEA,S12,Republican
D. Seum,HB198,YEA,S38,Republican
M. Wilson,HB198,YEA,S32,Republican
R. Girdler,HB198,YEA,S15,Republican
C. McDaniel,HB198,YEA,S23,Republican
B. Smith,HB198,YEA,S30,Republican
M. Wise,HB198,YEA,S16,Republican
D. Givens,HB198,YEA,S9,Republican
S. Meredith,HB198,YEA,S5,Republican
J. Carroll,HB198,NAY,S7,Democratic
D. Harper Angel,HB198,NAY,S35,Democratic
G. Neal,HB198,NAY,S33,Democratic
R. Thomas,HB198,NAY,S13,Democratic
P. Clark,HB198,NAY,S37,Democratic
R. Jones II,HB198,NAY,S31,Democratic
D. Parrett,HB198,NAY,S10,Democratic
J. Turner,HB198,NAY,S29,Democratic
C. Embry Jr.,HB198,NAY,S6,Republican
M. McGarvey,HB198,NAY,S19,Democratic
D. Ridley,HB198,NAY,S4,Democratic
R. Webb,HB198,NAY,S18,Democratic
R. Alvarado,HB200,YEA,S28,Republican
E. Harris,HB200,YEA,S26,Republican
S. Meredith,HB200,YEA,S5,Republican
R. Stivers II,HB200,YEA,S25,Republican
J. Bowen,HB200,YEA,S8,Republican
J. Higdon,HB200,YEA,S14,Republican
J. Adams,HB200,YEA,S36,Republican
D. Thayer,HB200,YEA,S17,Republican
T. Buford,HB200,YEA,S22,Republican
P. Hornback,HB200,YEA,S20,Republican
A. Robinson,HB200,YEA,S21,Republican
S. West,HB200,YEA,S27,Republican
J. Carpenter,HB200,YEA,S34,Republican
S. Humphries,HB200,YEA,S1,Republican
J. Schickel,HB200,YEA,S11,Republican
W. Westerfield,HB200,YEA,S3,Republican
D. Carroll,HB200,YEA,S2,Republican
A. Kerr,HB200,YEA,S12,Republican
W. Schroder,HB200,YEA,S24,Republican
M. Wilson,HB200,YEA,S32,Republican
R. Girdler,HB200,YEA,S15,Republican
C. McDaniel,HB200,YEA,S23,Republican
D. Seum,HB200,YEA,S38,Republican
M. Wise,HB200,YEA,S16,Republican
D. Givens,HB200,YEA,S9,Republican
J. Carroll,HB200,NAY,S7,Democratic
R. Jones II,HB200,NAY,S31,Democratic
D. Parrett,HB200,NAY,S10,Democratic
R. Thomas,HB200,NAY,S13,Democratic
P. Clark,HB200,NAY,S37,Democratic
M. McGarvey,HB200,NAY,S19,Democratic
D. Ridley,HB200,NAY,S4,Democratic
J. Turner,HB200,NAY,S29,Democratic
C. Embry Jr.,HB200,NAY,S6,Republican
G. Neal,HB200,NAY,S33,Democratic
B. Smith,HB200,NAY,S30,Republican
R. Webb,HB200,NAY,S18,Democratic
D. Harper Angel,HB200,NAY,S35,Democratic
R. Alvarado,HB201,YEA,S28,Republican
D. Harper Angel,HB201,YEA,S35,Democratic
S. Meredith,HB201,YEA,S5,Republican
R. Stivers II,HB201,YEA,S25,Republican
J. Bowen,HB201,YEA,S8,Republican
E. Harris,HB201,YEA,S26,Republican
G. Neal,HB201,YEA,S33,Democratic
D. Thayer,HB201,YEA,S17,Republican
T. Buford,HB201,YEA,S22,Republican
J. Higdon,HB201,YEA,S14,Republican
D. Parrett,HB201,YEA,S10,Democratic
R. Thomas,HB201,YEA,S13,Democratic
J. Carpenter,HB201,YEA,S34,Republican
P. Hornback,HB201,YEA,S20,Republican
J. Adams,HB201,YEA,S36,Republican
J. Turner,HB201,YEA,S29,Democratic
D. Carroll,HB201,YEA,S2,Republican
S. Humphries,HB201,YEA,S1,Republican
D. Ridley,HB201,YEA,S4,Democratic
R. Webb,HB201,YEA,S18,Democratic
J. Carroll,HB201,YEA,S7,Democratic
R. Jones II,HB201,YEA,S31,Democratic
A. Robinson,HB201,YEA,S21,Republican
S. West,HB201,YEA,S27,Republican
P. Clark,HB201,YEA,S37,Democratic
A. Kerr,HB201,YEA,S12,Republican
J. Schickel,HB201,YEA,S11,Republican
W. Westerfield,HB201,YEA,S3,Republican
C. Embry Jr.,HB201,YEA,S6,Republican
C. McDaniel,HB201,YEA,S23,Republican
W. Schroder,HB201,YEA,S24,Republican
M. Wilson,HB201,YEA,S32,Republican
R. Girdler,HB201,YEA,S15,Republican
M. McGarvey,HB201,YEA,S19,Democratic
D. Seum,HB201,YEA,S38,Republican
M. Wise,HB201,YEA,S16,Republican
D. Givens,HB201,YEA,S9,Republican
B. Smith,HB201,NV,S30,Republican
R. Alvarado,HB202,YEA,S28,Republican
D. Harper Angel,HB202,YEA,S35,Democratic
S. Meredith,HB202,YEA,S5,Republican
R. Stivers II,HB202,YEA,S25,Republican
J. Bowen,HB202,YEA,S8,Republican
E. Harris,HB202,YEA,S26,Republican
D. Parrett,HB202,YEA,S10,Democratic
D. Thayer,HB202,YEA,S17,Republican
T. Buford,HB202,YEA,S22,Republican
J. Higdon,HB202,YEA,S14,Republican
J. Adams,HB202,YEA,S36,Republican
R. Thomas,HB202,YEA,S13,Democratic
J. Carpenter,HB202,YEA,S34,Republican
P. Hornback,HB202,YEA,S20,Republican
D. Ridley,HB202,YEA,S4,Democratic
J. Turner,HB202,YEA,S29,Democratic
D. Carroll,HB202,YEA,S2,Republican
S. Humphries,HB202,YEA,S1,Republican
A. Robinson,HB202,YEA,S21,Republican
R. Webb,HB202,YEA,S18,Democratic
J. Carroll,HB202,YEA,S7,Democratic
R. Jones II,HB202,YEA,S31,Democratic
J. Schickel,HB202,YEA,S11,Republican
S. West,HB202,YEA,S27,Republican
P. Clark,HB202,YEA,S37,Democratic
A. Kerr,HB202,YEA,S12,Republican
W. Schroder,HB202,YEA,S24,Republican
W. Westerfield,HB202,YEA,S3,Republican
C. Embry Jr.,HB202,YEA,S6,Republican
C. McDaniel,HB202,YEA,S23,Republican
D. Seum,HB202,YEA,S38,Republican
M. Wilson,HB202,YEA,S32,Republican
R. Girdler,HB202,YEA,S15,Republican
M. McGarvey,HB202,YEA,S19,Democratic
B. Smith,HB202,YEA,S30,Republican
M. Wise,HB202,YEA,S16,Republican
D. Givens,HB202,YEA,S9,Republican
G. Neal,HB202,NV,S33,Democratic
R. Alvarado,HB203,YEA,S28,Republican
D. Givens,HB203,YEA,S9,Republican
M. McGarvey,HB203,YEA,S19,Democratic
R. Stivers II,HB203,YEA,S25,Republican
J. Bowen,HB203,YEA,S8,Republican
D. Harper Angel,HB203,YEA,S35,Democratic
S. Meredith,HB203,YEA,S5,Republican
D. Thayer,HB203,YEA,S17,Republican
T. Buford,HB203,YEA,S22,Republican
E. Harris,HB203,YEA,S26,Republican
G. Neal,HB203,YEA,S33,Democratic
R. Thomas,HB203,YEA,S13,Democratic
J. Carpenter,HB203,YEA,S34,Republican
J. Higdon,HB203,YEA,S14,Republican
D. Parrett,HB203,YEA,S10,Democratic
J. Turner,HB203,YEA,S29,Democratic
D. Carroll,HB203,YEA,S2,Republican
P. Hornback,HB203,YEA,S20,Republican
J. Adams,HB203,YEA,S36,Republican
S. West,HB203,YEA,S27,Republican
J. Carroll,HB203,YEA,S7,Democratic
S. Humphries,HB203,YEA,S1,Republican
A. Robinson,HB203,YEA,S21,Republican
W. Westerfield,HB203,YEA,S3,Republican
P. Clark,HB203,YEA,S37,Democratic
R. Jones II,HB203,YEA,S31,Democratic
W. Schroder,HB203,YEA,S24,Republican
M. Wilson,HB203,YEA,S32,Republican
C. Embry Jr.,HB203,YEA,S6,Republican
A. Kerr,HB203,YEA,S12,Republican
D. Seum,HB203,YEA,S38,Republican
M. Wise,HB203,YEA,S16,Republican
R. Girdler,HB203,YEA,S15,Republican
C. McDaniel,HB203,YEA,S23,Republican
B. Smith,HB203,YEA,S30,Republican
D. Ridley,HB203,NAY,S4,Democratic
J. Schickel,HB203,NAY,S11,Republican
R. Webb,HB203,NAY,S18,Democratic
R. Alvarado,HB207,YEA,S28,Republican
D. Harper Angel,HB207,YEA,S35,Democratic
G. Neal,HB207,YEA,S33,Democratic
R. Stivers II,HB207,YEA,S25,Republican
J. Bowen,HB207,YEA,S8,Republican
E. Harris,HB207,YEA,S26,Republican
D. Parrett,HB207,YEA,S10,Democratic
D. Thayer,HB207,YEA,S17,Republican
T. Buford,HB207,YEA,S22,Republican
J. Higdon,HB207,YEA,S14,Republican
J. Adams,HB207,YEA,S36,Republican
R. Thomas,HB207,YEA,S13,Democratic
J. Carpenter,HB207,YEA,S34,Republican
P. Hornback,HB207,YEA,S20,Republican
D. Ridley,HB207,YEA,S4,Democratic
J. Turner,HB207,YEA,S29,Democratic
D. Carroll,HB207,YEA,S2,Republican
S. Humphries,HB207,YEA,S1,Republican
A. Robinson,HB207,YEA,S21,Republican
R. Webb,HB207,YEA,S18,Democratic
J. Carroll,HB207,YEA,S7,Democratic
R. Jones II,HB207,YEA,S31,Democratic
J. Schickel,HB207,YEA,S11,Republican
S. West,HB207,YEA,S27,Republican
P. Clark,HB207,YEA,S37,Democratic
A. Kerr,HB207,YEA,S12,Republican
W. Schroder,HB207,YEA,S24,Republican
W. Westerfield,HB207,YEA,S3,Republican
C. Embry Jr.,HB207,YEA,S6,Republican
C. McDaniel,HB207,YEA,S23,Republican
D. Seum,HB207,YEA,S38,Republican
M. Wilson,HB207,YEA,S32,Republican
R. Girdler,HB207,YEA,S15,Republican
M. McGarvey,HB207,YEA,S19,Democratic
B. Smith,HB207,YEA,S30,Republican
M. Wise,HB207,YEA,S16,Republican
D. Givens,HB207,YEA,S9,Republican
S. Meredith,HB207,YEA,S5,Republican
R. Alvarado,HB213,YEA,S28,Republican
E. Harris,HB213,YEA,S26,Republican
D. Parrett,HB213,YEA,S10,Democratic
D. Thayer,HB213,YEA,S17,Republican
J. Bowen,HB213,YEA,S8,Republican
J. Higdon,HB213,YEA,S14,Republican
J. Adams,HB213,YEA,S36,Republican
